Datum,Uhrzeit,Stand
27.09.2022,12:33:25,2217.628
28.09.2022,13:42:01,2219.511
29.09.2022,12:34:05,2221.980
30.09.2022,17:14:53,2225.139
01.10.2022,12:06:57,2227.061
02.10.2022,11:56:29,2229.560
03.10.2022,13:07:57,2232.235
04.10.2022,14:00:19,2234.389
05.10.2022,12:21:19,2236.691
06.10.2022,13:07:43,2238.690
07.10.2022,13:02:43,2240.432
08.10.2022,16:24:49,2242.519
09.10.2022,17:25:17,2244.474
10.10.2022,12:50:14,2246.132
11.10.2022,17:17:15,2248.489
12.10.2022,12:34:24,2250.195
13.10.2022,12:48:35,2252.188
14.10.2022,12:17:01,2254.120
15.10.2022,12:08:17,2256.038
16.10.2022,14:19:02,2257.355
17.10.2022,13:17:18,2257.355
18.10.2022,12:49:17,2257.355
19.10.2022,14:58:18,2257.355
20.10.2022,12:51:00,2257.521
21.10.2022,15:11:04,2259.773
24.10.2022,13:39:57,2261.180
25.10.2022,14:04:50,2262.797
26.10.2022,12:49:59,2264.337
27.10.2022,12:56:31,2265.942
28.10.2022,11:51:37,2266.971
29.10.2022,14:48:34,2266.998
30.10.2022,12:32:03,2266.998
31.10.2022,15:12:15,2267.209
01.11.2022,17:43:29,2267.959
02.11.2022,00:06:26,2268.330
02.11.2022,14:01:06,2268.330
03.11.2022,13:42:54,2268.330
04.11.2022,13:20:14,2268.377
05.11.2022,14:29:36,2270.467
07.11.2022,15:32:25,2276.157
08.11.2022,20:54:04,2278.777
09.11.2022,15:13:49,2280.323
10.11.2022,11:41:58,2281.914
11.11.2022,22:37:24,2284.190
12.11.2022,14:09:25,2285.716
15.11.2022,19:00:00,2285.716
16.11.2022,00:00:29,2288.657
16.11.2022,13:51:27,2290.175
17.11.2022,13:50:13,2292.963
18.11.2022,16:22:48,2296.201
19.11.2022,15:30:51,2299.783
20.11.2022,16:05:40,2303.494
21.11.2022,14:35:29,2307.615
22.11.2022,14:04:00,2312.052
23.11.2022,15:22:35,2316.229
24.11.2022,13:37:58,2319.854
25.11.2022,13:34:42,2323.146
26.11.2022,17:57:25,2327.259
27.11.2022,14:19:02,2329.894
28.11.2022,13:32:53,2333.062
29.11.2022,16:42:24,2336.791
30.11.2022,13:51:33,2339.870
01.12.2022,16:31:41,2343.513
02.12.2022,14:52:30,2346.737
03.12.2022,13:49:28,2351.866
